Node (960): (577, 0) = (id, weight)
Node (960): (578, 0) = (id, weight)
Node (960): (579, 0) = (id, weight)
Node (960): (580, 0) = (id, weight)
Node (960): (581, 0) = (id, weight)
Node (960): (582, 0) = (id, weight)
Node (960): (583, 0) = (id, weight)
Node (960): (584, 0) = (id, weight)
Node (960): (585, 0) = (id, weight)
Node (960): (586, 0) = (id, weight)
Node (960): (587, 0) = (id, weight)
Node (960): (588, 0) = (id, weight)
Node (960): (589, 0) = (id, weight)
Node (960): (590, 0) = (id, weight)
Node (960): (591, 0) = (id, weight)
Node (960): (592, 0) = (id, weight)
Node (960): (593, 0) = (id, weight)
Node (960): (594, 0) = (id, weight)
Node (960): (595, 0) = (id, weight)
Node (960): (596, 0) = (id, weight)
Node (960): (597, 0) = (id, weight)
Node (960): (598, 0) = (id, weight)
Node (960): (599, 0) = (id, weight)
Node (960): (600, 0) = (id, weight)
Node (960): (601, 0) = (id, weight)
Node (960): (602, 0) = (id, weight)
Node (960): (603, 0) = (id, weight)
Node (960): (604, 0) = (id, weight)
Node (960): (605, 0) = (id, weight)
Node (960): (606, 0) = (id, weight)
Node (960): (607, 0) = (id, weight)
Node (960): (608, 0) = (id, weight)
Node (960): (609, 0) = (id, weight)
Node (960): (610, 0) = (id, weight)
Node (960): (611, 0) = (id, weight)
Node (960): (612, 0) = (id, weight)
Node (960): (613, 0) = (id, weight)
Node (960): (614, 0) = (id, weight)
Node (960): (615, 0) = (id, weight)
Node (960): (616, 0) = (id, weight)
Node (960): (617, 0) = (id, weight)
Node (960): (618, 0) = (id, weight)
Node (960): (619, 0) = (id, weight)
Node (960): (620, 0) = (id, weight)
Node (960): (621, 0) = (id, weight)
Node (960): (622, 0) = (id, weight)
Node (960): (623, 0) = (id, weight)
Node (960): (624, 0) = (id, weight)
Node (960): (625, 0) = (id, weight)
Node (960): (626, 0) = (id, weight)
Node (960): (627, 0) = (id, weight)
Node (960): (628, 0) = (id, weight)
Node (960): (629, 0) = (id, weight)
Node (960): (630, 0) = (id, weight)
Node (960): (631, 0) = (id, weight)
Node (960): (632, 0) = (id, weight)
Node (960): (633, 0) = (id, weight)
Node (960): (634, 0) = (id, weight)
Node (960): (635, 0) = (id, weight)
Node (960): (636, 0) = (id, weight)
Node (960): (637, 0) = (id, weight)
Node (960): (638, 0) = (id, weight)
Node (960): (639, 0) = (id, weight)
Node (960): (640, 0) = (id, weight)
Node (960): (641, 0) = (id, weight)
Node (960): (642, 0) = (id, weight)
Node (960): (643, 0) = (id, weight)
Node (960): (644, 0) = (id, weight)
Node (960): (645, 0) = (id, weight)
Node (960): (646, 0) = (id, weight)
Node (960): (647, 0) = (id, weight)
Node (960): (648, 0) = (id, weight)
Node (960): (649, 0) = (id, weight)
Node (960): (650, 0) = (id, weight)
Node (960): (651, 0) = (id, weight)
Node (960): (652, 0) = (id, weight)
Node (960): (653, 0) = (id, weight)
Node (960): (654, 0) = (id, weight)
Node (960): (655, 0) = (id, weight)
Node (960): (656, 0) = (id, weight)
Node (960): (657, 0) = (id, weight)
Node (960): (658, 0) = (id, weight)
Node (960): (659, 0) = (id, weight)
Node (960): (660, 0) = (id, weight)
Node (960): (661, 0) = (id, weight)
Node (960): (662, 0) = (id, weight)
Node (960): (663, 0) = (id, weight)
Node (960): (664, 0) = (id, weight)
Node (960): (665, 0) = (id, weight)
Node (960): (666, 0) = (id, weight)
Node (960): (667, 0) = (id, weight)
Node (960): (668, 0) = (id, weight)
Node (960): (669, 0) = (id, weight)
Node (960): (670, 0) = (id, weight)
Node (960): (671, 0) = (id, weight)
Node (960): (672, 0) = (id, weight)
Node (960): (673, 0) = (id, weight)
Node (960): (674, 0) = (id, weight)
Node (960): (675, 0) = (id, weight)
Node (960): (676, 0) = (id, weight)
Node (960): (677, 0) = (id, weight)
Node (960): (678, 0) = (id, weight)
Node (960): (679, -9) = (id, weight)
Node (960): (680, 0) = (id, weight)
Node (960): (681, 0) = (id, weight)
Node (960): (682, 0) = (id, weight)
Node (960): (683, 0) = (id, weight)
Node (960): (684, 0) = (id, weight)
Node (960): (685, 0) = (id, weight)
Node (960): (686, 0) = (id, weight)
Node (960): (687, 0) = (id, weight)
Node (960): (688, 0) = (id, weight)
Node (960): (689, 0) = (id, weight)
Node (960): (690, 0) = (id, weight)
Node (960): (691, 0) = (id, weight)
Node (960): (692, 0) = (id, weight)
Node (960): (693, 0) = (id, weight)
Node (960): (694, 0) = (id, weight)
Node (960): (695, 0) = (id, weight)
Node (960): (696, 0) = (id, weight)
Node (960): (697, 0) = (id, weight)
Node (960): (698, 0) = (id, weight)
Node (960): (699, 0) = (id, weight)
Node (960): (700, 0) = (id, weight)
Node (960): (701, 0) = (id, weight)
Node (960): (702, 0) = (id, weight)
Node (960): (703, 0) = (id, weight)
Node (960): (704, 0) = (id, weight)
Node (960): (705, 1) = (id, weight)
Node (960): (706, 0) = (id, weight)
Node (960): (707, 0) = (id, weight)
Node (960): (708, 0) = (id, weight)
Node (960): (709, 0) = (id, weight)
Node (960): (710, 0) = (id, weight)
Node (960): (711, 0) = (id, weight)
Node (960): (712, 0) = (id, weight)
Node (960): (713, 0) = (id, weight)
Node (960): (714, 0) = (id, weight)
Node (960): (715, 0) = (id, weight)
Node (960): (716, 0) = (id, weight)
Node (960): (717, 0) = (id, weight)
Node (960): (718, 0) = (id, weight)
Node (960): (719, 0) = (id, weight)
Node (960): (720, 0) = (id, weight)
Node (960): (721, 0) = (id, weight)
Node (960): (722, 0) = (id, weight)
Node (960): (723, 0) = (id, weight)
Node (960): (724, 0) = (id, weight)
Node (960): (725, 0) = (id, weight)
Node (960): (726, 0) = (id, weight)
Node (960): (727, 0) = (id, weight)
Node (960): (728, 0) = (id, weight)
Node (960): (729, 0) = (id, weight)
Node (960): (730, 0) = (id, weight)
Node (960): (731, 0) = (id, weight)
Node (960): (732, 0) = (id, weight)
Node (960): (733, 0) = (id, weight)
Node (960): (734, 0) = (id, weight)
Node (960): (735, 0) = (id, weight)
Node (960): (736, 0) = (id, weight)
