Link (2896): (142, 143, 0) = (id, map_id, weight)
Link (2896): (143, 142, 0) = (id, map_id, weight)
Link (2896): (143, 143, 9) = (id, map_id, weight)
Link (2896): (143, 144, 0) = (id, map_id, weight)
Link (2896): (144, 143, 0) = (id, map_id, weight)
Link (2896): (144, 144, 9) = (id, map_id, weight)
Link (2896): (144, 145, 0) = (id, map_id, weight)
Link (2896): (145, 144, 0) = (id, map_id, weight)
Link (2896): (145, 145, 9) = (id, map_id, weight)
Link (2896): (145, 146, 0) = (id, map_id, weight)
Link (2896): (146, 145, 0) = (id, map_id, weight)
Link (2896): (146, 146, 9) = (id, map_id, weight)
Link (2896): (146, 147, 0) = (id, map_id, weight)
Link (2896): (147, 146, 0) = (id, map_id, weight)
Link (2896): (147, 147, 9) = (id, map_id, weight)
Link (2896): (147, 148, 0) = (id, map_id, weight)
Link (2896): (148, 147, 0) = (id, map_id, weight)
Link (2896): (148, 148, 9) = (id, map_id, weight)
Link (2896): (148, 149, 0) = (id, map_id, weight)
Link (2896): (149, 148, 0) = (id, map_id, weight)
Link (2896): (149, 149, 9) = (id, map_id, weight)
Link (2896): (149, 150, 0) = (id, map_id, weight)
Link (2896): (150, 149, 0) = (id, map_id, weight)
Link (2896): (150, 150, 9) = (id, map_id, weight)
Link (2896): (150, 151, 0) = (id, map_id, weight)
Link (2896): (151, 150, 0) = (id, map_id, weight)
Link (2896): (151, 151, 9) = (id, map_id, weight)
Link (2896): (151, 152, 0) = (id, map_id, weight)
Link (2896): (152, 151, 0) = (id, map_id, weight)
Link (2896): (152, 152, 9) = (id, map_id, weight)
Link (2896): (152, 153, 0) = (id, map_id, weight)
Link (2896): (153, 152, 0) = (id, map_id, weight)
Link (2896): (153, 153, 9) = (id, map_id, weight)
Link (2896): (153, 154, 0) = (id, map_id, weight)
Link (2896): (154, 153, 0) = (id, map_id, weight)
Link (2896): (154, 154, 9) = (id, map_id, weight)
Link (2896): (154, 155, 0) = (id, map_id, weight)
Link (2896): (155, 154, 0) = (id, map_id, weight)
Link (2896): (155, 155, 9) = (id, map_id, weight)
Link (2896): (155, 156, 0) = (id, map_id, weight)
Link (2896): (156, 155, 0) = (id, map_id, weight)
Link (2896): (156, 156, 9) = (id, map_id, weight)
Link (2896): (156, 157, 0) = (id, map_id, weight)
Link (2896): (157, 156, 0) = (id, map_id, weight)
Link (2896): (157, 157, 9) = (id, map_id, weight)
Link (2896): (157, 158, 0) = (id, map_id, weight)
Link (2896): (158, 157, 0) = (id, map_id, weight)
Link (2896): (158, 158, 9) = (id, map_id, weight)
Link (2896): (158, 159, 0) = (id, map_id, weight)
Link (2896): (159, 158, 0) = (id, map_id, weight)
Link (2896): (159, 159, 9) = (id, map_id, weight)
Link (2896): (159, 160, 0) = (id, map_id, weight)
Link (2896): (160, 159, 0) = (id, map_id, weight)
Link (2896): (160, 160, 9) = (id, map_id, weight)
Link (2896): (160, 161, 0) = (id, map_id, weight)
Link (2896): (161, 160, 0) = (id, map_id, weight)
Link (2896): (161, 161, 9) = (id, map_id, weight)
Link (2896): (161, 162, 0) = (id, map_id, weight)
Link (2896): (162, 161, 0) = (id, map_id, weight)
Link (2896): (162, 162, 9) = (id, map_id, weight)
Link (2896): (162, 163, 0) = (id, map_id, weight)
Link (2896): (163, 162, 0) = (id, map_id, weight)
Link (2896): (163, 163, 9) = (id, map_id, weight)
Link (2896): (163, 164, 0) = (id, map_id, weight)
Link (2896): (164, 163, 0) = (id, map_id, weight)
Link (2896): (164, 164, 9) = (id, map_id, weight)
Link (2896): (164, 165, 0) = (id, map_id, weight)
Link (2896): (165, 164, 0) = (id, map_id, weight)
Link (2896): (165, 165, 9) = (id, map_id, weight)
Link (2896): (165, 166, 0) = (id, map_id, weight)
Link (2896): (166, 165, 0) = (id, map_id, weight)
Link (2896): (166, 166, 9) = (id, map_id, weight)
Link (2896): (166, 167, 0) = (id, map_id, weight)
Link (2896): (167, 166, 0) = (id, map_id, weight)
Link (2896): (167, 167, 9) = (id, map_id, weight)
Link (2896): (167, 168, 0) = (id, map_id, weight)
Link (2896): (168, 167, 0) = (id, map_id, weight)
Link (2896): (168, 168, 9) = (id, map_id, weight)
Link (2896): (168, 169, 0) = (id, map_id, weight)
Link (2896): (169, 168, 0) = (id, map_id, weight)
Link (2896): (169, 169, 9) = (id, map_id, weight)
Link (2896): (169, 170, 0) = (id, map_id, weight)
Link (2896): (170, 169, 0) = (id, map_id, weight)
Link (2896): (170, 170, 9) = (id, map_id, weight)
Link (2896): (170, 171, 0) = (id, map_id, weight)
